Date,FIDLEUI LX Equity  (R2),DODGX US Equity  (L1),PRDGX US Equity  (R1),AGTHX US Equity  (L4),JACTX US Equity  (R3),FCNTX US Equity  (L2),AIVSX US Equity  (R4),FBGRX US Equity  (R1),SCHEUMA LX Equity  (R1),SISEEIA LX Equity  (R1),SCHEMAA LX Equity  (L3),SPXT Index  (R1),SXXR Index  (R1),EURIBOR 3 month,3 month - t bill
6/30/14,12.63,11.17,35.27,45.549999,40.49,9.93,39.43,67.91,210.86,68.78,23.33,3552.1799,637.2,0.2414,0.04
3/31/14,12.02,10.74,34.05,43.400002,39.56,9.56,37.389999,64.55,208.76,67.05,21.28,3375.51,614.69,0.3053,0.05
12/31/13,11.94,10.55,33.65,43,40.55,9.61,36.700001,63.37,206.69,65.21,23.92,3315.5901,600.04,0.2735,0.07
9/30/13,11.35,9.46,31.1,42.009998,45.27,9.33,35.740002,58.41,194.99,60.72,23.91,3000.1799,565.63,0.2232,0.02
6/28/13,10.84,8.88,29.7,38.459999,40.89,8.56,33.650002,55.68,177.17,53.82,22.48,2850.6599,517.06,0.2103,0.04
3/29/13,10.88,8.48,29.02,37.290001,39.99,8.39,32.82,53.49,177.34,54.33,24.15,2770.05,525.07,0.2061,0
12/31/12,10.13,7.62,26.34,34.349998,37.99,7.76,30.16,49.05,169.45,50.72,23.67,2504.4399,496.77,0.1855,0.05
9/28/12,9.823,7.43,26.34,33.860001,38.02,7.97,30.65,50.49,163.78,48.29,22.6,2513.9299,475.28,0.2463,0.1
6/29/12,9.404,6.9,25.02,31.540001,35.48,7.48,29.1,46.92,151.79,44.06,20.57,2363.79,442.4,0.6589,0.09
3/30/12,9.742,7.16,25.62,32.919998,37.02,7.75,29.959999,50.38,157.95,46.21,21.43,2430.6699,455.67,0.8585,0.07
12/30/11,8.74,6.35,23.34,28.73,30.82,6.75,27.09,42.43,142.36,40.54,18.46,2158.9399,420.35,1.4261,0.02
9/30/11,8.05,5.74,20.91,26.67,28.83,6.24,24.690001,39.57,129.7,38.97,17.46,1930.79,387.2,1.5365,0.02
6/30/11,9.99,7.1,24.3,31.83,34.11,7.06,28.99,48.21,157.82,47.01,22.64,2241.6599,464.8,1.4886,0.03
3/31/11,10.09,7.11,24.16,32.049999,33.84,7.1,29.24,47.95,160.97,48.47,24.25,2239.4399,462.53,1.1755,0.09
12/31/10,10.27,6.74,22.88,30.440001,33.41,6.77,28.16,45.35,155.58,47.21,23.15,2114.29,459.95,1.0217,0.12
9/30/10,9.372,6.07,20.72,27.83,30.69,6.22,26.059999,39.88,145.14,45.11,20.81,1908.95,431.61,0.8805,0.16
6/30/10,8.834,5.49,18.87,25.139999,28.01,5.54,23.450001,35.18,134.91,40.94,19.52,1715.23,402.79,0.7276,0.18
3/31/10,9.49,6.39,21.37,28.469999,32.75,6.03,26.66,40.13,141.73,44.14,20.8,1936.48,430.01,0.645,0.16
12/31/09,8.879,6.01,20.48,27.33,31.55,5.83,25.950001,37.95,136.53,42.62,18.21,1837.5,412.09,0.712,0.06
9/30/09,8.557,5.76,19.48,26.02,30.18,5.45,24.48,35,132.5,41.11,16.27,1732.86,392,0.7721,0.14
6/30/09,7.407,4.82,17.32,22.950001,,4.78,21.790001,29.16,113.81,34.62,12.96,1498.9399,331.34,1.2279,0.19
3/31/09,6.416,3.93,15,19.66,,4.23,19.01,24.98,92.69,27.43,9.82,1292.98,278.88,1.6355,0.21
12/31/08,7.004,4.65,16.51,20.48,,4.53,20.959999,26.31,104.93,30.36,9.75,1452.98,311.26,3.2926,0.11
9/30/08,9.135,6.09,20.94,26.950001,,5.72,26.08,35.13,129,38.51,16.57,1861.4399,399.68,5.0192,0.9
6/30/08,10.78,6.96,22.66,31.719999,,6.65,28.85,39.6,144.9,44.93,23.23,2031.47,449.55,4.9405,1.87
3/31/08,10.65,7.32,23.16,31.33,,6.43,29.82,39.4,153.15,45.28,21.43,2088.4199,467.22,4.5964,1.36
12/31/07,12.91,8.64,25.5,34.009998,,7.31,32.950001,44.06,184.34,53.33,27.49,2306.23,553.54,4.8484,3.29
9/28/07,13.25,9.9,27.35,37.490002,,7.54,36.59,45.64,186.65,54.48,25.95,2385.72,571.85,4.7417,3.72
6/29/07,13.54,10.13,27.27,35.900002,,7.04,35.869999,47.43,192.03,57.51,24.57,2338.25,593.48,4.1478,4.68
3/30/07,12.58,9.64,25.39,33.330002,,6.55,33.700001,44.04,180.25,53.78,23.55,2200.1201,556.82,3.8909,4.9
12/29/06,12.24,9.59,25.36,32.869999,,6.52,33.509998,44.31,180.33,52.42,23.37,2186.1299,540.76,3.6842,4.89
9/29/06,11.34,9.42,24.34,32.16,,6.66,34.040001,42.67,168.71,49.27,19.81,2048.8899,503.97,3.3354,4.77
6/30/06,10.91,9.03,23.25,31.700001,,6.6,32.849998,41.95,157.79,46.06,18.95,1939.03,471.33,2.9857,4.87
3/31/06,11.6,8.99,23.61,32.209999,,6.65,32.509998,44.17,163.39,47.51,21.33,1967.38,485.52,2.7226,4.52
12/30/05,10.66,8.58,22.78,30.860001,,6.48,31.360001,43.16,152.86,42.42,19,1887.9399,447.66,2.4729,3.99
9/30/05,10.24,8.51,23.02,29.77,,6.35,31.690001,42.08,146.04,40.75,18.18,1849.33,428.19,2.1391,3.47
6/30/05,9.214,8.09,22.59,27.84,,5.86,30.540001,40.84,138.32,37.96,13.43,1784.99,395.58,2.111,3.06
